; c211 color library
bytevector-copy,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s246
bytevector-copy!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s247
bytevector-fill!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s245
bytevector-ieee-double-native-ref,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s262
bytevector-ieee-double-native-set!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s263
bytevector-ieee-double-ref,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s264
bytevector-ieee-double-set!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s265
bytevector-ieee-single-native-ref,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s262
bytevector-ieee-single-native-set!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s263
bytevector-ieee-single-ref,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s264
bytevector-ieee-single-set!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s265
bytevector-length,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s243
bytevector-s16-native-ref,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s254
bytevector-s16-native-set!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s255
bytevector-s16-ref,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s256
bytevector-s16-set!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s257
bytevector-s32-native-ref,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s254
bytevector-s32-native-set!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s255
bytevector-s32-ref,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s256
bytevector-s32-set!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s257
bytevector-s64-native-ref,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s254
bytevector-s64-native-set!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s255
bytevector-s64-ref,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s256
bytevector-s64-set!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s257
bytevector-s8-ref,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s249
bytevector-s8-set!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s251
bytevector-sint-ref,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s258
bytevector-sint-set!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s259
bytevector-truncate!,procedure,2,http://www.scheme.com/csug8/objects.html#./objects:s36
bytevector-u16-native-ref,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s254
bytevector-u16-native-set!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s255
bytevector-u16-ref,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s256
bytevector-u16-set!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s257
bytevector-u32-native-ref,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s254
bytevector-u32-native-set!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s255
bytevector-u32-ref,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s256
bytevector-u32-set!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s257
bytevector-u64-native-ref,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s254
bytevector-u64-native-set!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s255
bytevector-u64-ref,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s256
bytevector-u64-set!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s257
bytevector-u8-ref,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s248
bytevector-u8-set!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s250
bytevector-uint-ref,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s258
bytevector-uint-set!,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s259
bytevector=?,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s244
bytevector?,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s24
caaaar,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s42
caaadr,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s42
caaar,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s42
caadar,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s42
caaddr,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s42
caadr,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s42
caar,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s42
cadaar,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s42
cadadr,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s42
cadar,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s42
